Datetime,Cancel_Type,Vehicle Type,Ride Distance,Booking Value,is_cancelled,Hour,Is_Weekend,Pickup Location
2024-03-23 12:29:38,No Driver Found,eBike,,,1,12,1,Palam Vihar
2024-11-29 18:01:39,Incomplete,Go Sedan,5.73,237.0,1,18,0,Shastri Nagar
2024-08-23 08:56:10,Completed,Auto,13.58,627.0,0,8,0,Khandsa
2024-10-21 17:17:25,Completed,Premier Sedan,34.02,416.0,0,17,0,Central Secretariat
2024-09-16 22:08:00,Completed,Bike,48.21,737.0,0,22,0,Ghitorni Village
2024-02-06 09:44:56,Completed,Auto,4.85,316.0,0,9,0,AIIMS
2024-06-17 15:45:58,Completed,Go Mini,41.24,640.0,0,15,0,Vaishali
2024-03-19 17:37:37,Completed,Auto,6.56,136.0,0,17,0,Mayur Vihar
2024-09-14 12:49:09,No Driver Found,Go Sedan,,,1,12,1,Noida Sector 62
2024-12-16 19:06:48,Incomplete,Auto,10.36,135.0,1,19,0,Rohini
2024-06-14 16:24:12,Completed,Auto,19.84,181.0,0,16,0,Udyog Bhawan
2024-09-18 08:09:38,No Driver Found,Auto,,,1,8,0,Vidhan Sabha
2024-06-25 22:44:15,Driver Cancelled,eBike,,,1,22,0,Patel Chowk
2024-09-11 19:29:39,Completed,Go Mini,21.44,394.0,0,19,0,Malviya Nagar
2024-10-18 18:28:53,Completed,Go Mini,39.55,836.0,0,18,0,Madipur
2024-06-07 15:05:35,Completed,Auto,34.76,410.0,0,15,0,Jama Masjid
2024-07-01 10:51:16,Completed,Premier Sedan,21.97,401.0,0,10,0,IGI Airport
2024-12-15 15:08:25,Driver Cancelled,Go Sedan,,,1,15,1,Vinobapuri
2024-11-24 09:07:10,Customer Cancelled,eBike,,,1,9,1,Kashmere Gate
2024-05-24 19:53:57,Driver Cancelled,eBike,,,1,19,0,Pitampura
2024-12-14 21:27:04,Completed,Go Sedan,13.64,264.0,0,21,1,Punjabi Bagh
2024-07-29 06:28:22,Completed,Auto,4.5,183.0,0,6,0,Greater Noida
2024-02-23 11:02:45,Completed,Go Mini,38.03,713.0,0,11,0,Tis Hazari
2024-03-09 20:14:24,Completed,Go Mini,14.53,113.0,0,20,1,Noida Sector 18
2024-08-28 16:30:14,Completed,Auto,7.39,767.0,0,16,0,Kanhaiya Nagar
2024-08-08 06:34:38,Completed,Uber XL,10.23,495.0,0,6,0,Okhla
2024-01-26 09:44:00,Driver Cancelled,Auto,,,1,9,0,Cyber Hub
2024-04-12 19:42:35,No Driver Found,Premier Sedan,,,1,19,0,Sadar Bazar Gurgaon
2024-04-05 18:57:12,Incomplete,Bike,1.98,304.0,1,18,0,Shastri Park
2024-11-03 12:24:59,Completed,Auto,39.21,2847.0,0,12,1,Faridabad Sector 15
2024-05-18 17:37:52,Driver Cancelled,Go Mini,,,1,17,1,Qutub Minar
2024-11-15 05:53:55,Completed,Go Mini,8.36,282.0,0,5,0,Mundka
2024-02-04 18:08:04,Completed,Premier Sedan,6.39,656.0,0,18,1,DLF City Court
2024-05-29 14:05:10,Completed,Auto,46.66,134.0,0,14,0,Tis Hazari
2024-07-13 19:53:15,Driver Cancelled,Go Sedan,,,1,19,1,New Colony
2024-06-07 19:21:10,Completed,Go Sedan,27.07,470.0,0,19,0,Nirman Vihar
2024-05-16 13:04:31,Completed,Auto,12.16,187.0,0,13,0,New Delhi Railway Station
2024-10-02 03:10:35,Completed,Premier Sedan,10.28,186.0,0,3,0,Civil Lines Gurgaon
2024-02-26 15:43:16,Completed,eBike,44.42,70.0,0,15,0,Seelampur
2024-09-10 13:02:42,Customer Cancelled,Bike,,,1,13,0,Noida Extension
2024-09-12 09:14:57,Driver Cancelled,Auto,,,1,9,0,Adarsh Nagar
2024-01-24 10:47:57,Completed,Auto,34.64,273.0,0,10,0,Vinobapuri
2024-02-12 19:42:39,Incomplete,Premier Sedan,18.3,966.0,1,19,0,Panipat
2024-10-02 19:17:00,Driver Cancelled,Auto,,,1,19,0,Karol Bagh
2024-04-01 21:14:19,Completed,Go Sedan,20.91,251.0,0,21,0,Sultanpur
2024-09-18 21:06:36,Driver Cancelled,Go Mini,,,1,21,0,Moti Nagar
2024-08-02 07:17:07,Customer Cancelled,Auto,,,1,7,0,Shastri Park
2024-09-30 13:10:50,Incomplete,Bike,19.24,453.0,1,13,0,Dilshad Garden
2024-06-16 00:44:47,Completed,Go Sedan,8.13,246.0,0,0,1,Dilshad Garden
2024-09-18 09:33:55,Completed,Auto,2.96,237.0,0,9,0,Aya Nagar
2024-05-04 21:26:59,Incomplete,Go Mini,1.82,1581.0,1,21,1,Rajiv Chowk
2024-06-03 18:14:47,Completed,Go Mini,33.04,379.0,0,18,0,MG Road
2024-10-03 22:20:34,Completed,Go Mini,44.7,545.0,0,22,0,Jasola
2024-05-25 11:24:29,Completed,Go Mini,7.38,479.0,0,11,1,Kashmere Gate
2024-03-04 17:46:46,Driver Cancelled,Go Sedan,,,1,17,0,Ardee City
2024-11-10 05:13:57,Completed,Go Mini,24.93,647.0,0,5,1,Punjabi Bagh
2024-09-11 10:36:44,Driver Cancelled,Auto,,,1,10,0,Meerut
2024-04-11 15:43:34,No Driver Found,Uber XL,,,1,15,0,Anand Vihar ISBT
2024-06-01 10:03:27,Completed,Premier Sedan,25.16,125.0,0,10,1,Mayur Vihar
2024-05-09 10:44:30,Driver Cancelled,Premier Sedan,,,1,10,0,Lajpat Nagar
2024-07-30 12:02:26,Completed,Premier Sedan,48.85,375.0,0,12,0,Tughlakabad
2024-02-25 16:23:19,Completed,Auto,24.41,310.0,0,16,1,Cyber Hub
2024-02-09 11:15:59,Customer Cancelled,Auto,,,1,11,0,Karkarduma
2024-03-02 04:59:03,Driver Cancelled,Go Sedan,,,1,4,1,Shastri Nagar
2024-08-27 18:22:02,Incomplete,Auto,13.85,370.0,1,18,0,Aya Nagar
2024-03-08 09:28:38,Driver Cancelled,Premier Sedan,,,1,9,0,Dwarka Mor
2024-03-20 09:59:11,Driver Cancelled,Premier Sedan,,,1,9,0,Adarsh Nagar
2024-01-25 12:39:21,Completed,eBike,3.71,291.0,0,12,0,Vidhan Sabha
2024-04-11 11:14:35,Completed,Auto,32.98,114.0,0,11,0,Anand Vihar
2024-06-17 20:25:47,Completed,Go Mini,11.2,464.0,0,20,0,Uttam Nagar
2024-07-29 19:52:48,Completed,Go Sedan,45.4,160.0,0,19,0,Model Town
2024-12-22 10:53:20,Driver Cancelled,Auto,,,1,10,1,Mandi House
2024-12-21 21:40:00,Completed,eBike,28.78,206.0,0,21,1,Ghitorni
2024-02-23 11:38:09,Incomplete,Go Mini,2.81,217.0,1,11,0,Ghitorni Village
2024-05-05 21:22:39,Completed,Bike,17.34,633.0,0,21,1,Okhla
2024-11-08 17:01:10,Completed,Auto,9.38,717.0,0,17,0,DLF City Court
2024-12-26 21:21:55,Completed,Go Sedan,11.9,151.0,0,21,0,Rajiv Nagar
2024-09-05 07:44:18,Completed,Premier Sedan,35.66,512.0,0,7,0,Sohna Road
2024-11-25 08:29:14,Customer Cancelled,Go Sedan,,,1,8,0,Sadar Bazar Gurgaon
2024-08-15 18:40:03,Driver Cancelled,Premier Sedan,,,1,18,0,Anand Vihar ISBT
2024-02-10 09:17:39,Completed,Premier Sedan,21.79,1390.0,0,9,1,Lajpat Nagar
2024-09-26 11:33:51,Driver Cancelled,Premier Sedan,,,1,11,0,Bahadurgarh
2024-07-01 17:39:56,Completed,Bike,7.86,224.0,0,17,0,Moolchand
2024-10-19 16:24:50,Completed,Auto,18.04,708.0,0,16,1,Uttam Nagar
2024-02-09 10:51:01,Completed,Auto,15.18,153.0,0,10,0,INA Market
2024-03-31 12:37:12,Driver Cancelled,Bike,,,1,12,1,Sushant Lok
2024-12-11 17:05:36,Completed,Bike,13.38,72.0,0,17,0,IIT Delhi
2024-06-19 16:19:41,Incomplete,Go Sedan,11.81,282.0,1,16,0,Satguru Ram Singh Marg
2024-06-20 18:58:36,No Driver Found,Go Mini,,,1,18,0,Adarsh Nagar
2024-07-10 02:23:12,Completed,Premier Sedan,30.9,696.0,0,2,0,Munirka
2024-02-06 21:27:00,Incomplete,eBike,14.91,936.0,1,21,0,New Colony
2024-09-30 12:34:51,Completed,Auto,44.25,2169.0,0,12,0,IGNOU Road
2024-09-20 13:09:16,Completed,eBike,45.46,136.0,0,13,0,Meerut
2024-04-30 20:25:28,Completed,Go Mini,2.91,214.0,0,20,0,Punjabi Bagh
2024-06-04 20:38:07,Completed,Go Mini,37.57,835.0,0,20,0,Akshardham
2024-10-30 16:29:36,Driver Cancelled,eBike,,,1,16,0,Chhatarpur
2024-08-11 18:21:32,Completed,Go Sedan,40.18,705.0,0,18,1,IMT Manesar
2024-05-21 17:39:58,No Driver Found,Uber XL,,,1,17,0,Madipur
2024-10-08 08:52:57,Completed,Go Sedan,20.22,480.0,0,8,0,Azadpur
2024-03-26 18:59:52,Customer Cancelled,Premier Sedan,,,1,18,0,Chhatarpur
2024-06-24 18:04:39,Completed,Go Mini,44.76,707.0,0,18,0,Cyber Hub
2024-03-28 19:20:01,Driver Cancelled,Bike,,,1,19,0,Jhilmil
2024-09-27 20:16:53,Completed,eBike,43.34,865.0,0,20,0,Sikanderpur
2024-04-26 15:45:51,Completed,Bike,5.97,768.0,0,15,0,Mayur Vihar
2024-05-19 18:47:16,Completed,Bike,27.96,626.0,0,18,1,Rohini West
2024-06-05 11:16:12,Completed,Go Mini,21.19,443.0,0,11,0,Mandi House
2024-01-07 16:21:31,Customer Cancelled,Auto,,,1,16,1,Azadpur
2024-04-19 14:14:27,Completed,Go Sedan,47.63,226.0,0,14,0,Aya Nagar
2024-03-31 16:34:57,Completed,Auto,24.4,449.0,0,16,1,Shastri Nagar
2024-03-26 19:13:05,Completed,Go Mini,7.49,778.0,0,19,0,Vinobapuri
2024-06-10 15:24:51,Completed,Bike,24.44,361.0,0,15,0,Rohini West
2024-08-16 17:05:19,Completed,Auto,9.2,235.0,0,17,0,Kashmere Gate ISBT
2024-02-04 15:32:16,Completed,Go Sedan,28.09,186.0,0,15,1,Rohini
2024-06-24 18:46:34,Incomplete,Uber XL,3.37,544.0,1,18,0,Kherki Daula Toll
2024-03-23 11:31:18,No Driver Found,Bike,,,1,11,1,IFFCO Chowk
2024-07-21 10:45:00,Customer Cancelled,Go Mini,,,1,10,1,Hauz Rani
2024-09-22 06:39:39,Customer Cancelled,Auto,,,1,6,1,Dilshad Garden
2024-05-26 22:36:05,Completed,Bike,40.1,86.0,0,22,1,Faridabad Sector 15
2024-03-30 13:55:19,Driver Cancelled,Auto,,,1,13,1,Sarai Kale Khan
